Ticker,Year,Risk_Label,3Y_Stock_CAGR,Ann_Volatility,Promoter_Hold,Promoter_Pledge,Inst_Hold_Change,Board_Indep_Pct,Director_Tenure,CEO_Duality,Auditor_Quality,Auditor_Quit,Voting_Dissent,Whistleblower_Cnt,Profit_Growth,Governance_Ratio,Leverage_Risk,Liquidity,CEO_Pay_Gap,Div_Yield,Asset_Quality,Loan_Risk,Environ_Risk,Capex_Trap
Yes Bank,2020,1.0,-0.5787,1.4882,0.0142,0.0,-0.105,0.5,1.5,0.0,1.0,1.0,1.0,1.0,-8.5,-0.013,0.085,0.266,35.0,0.0,0.168,0.72,0.0,0.0
Yes Bank,2021,1.0,-0.6261,0.5498,0.0,0.0,0.352,0.75,2.0,0.0,1.0,0.0,0.0415,0.0,2.0,-0.013,0.175,0.261,40.0,0.0,0.1541,0.79,0.0,0.0
Yes Bank,2022,1.0,-0.6439,0.3843,0.0,0.0,-0.021,0.75,3.0,0.0,1.0,0.0,0.012,0.0,0.45,0.004,0.174,0.311,45.0,0.0,0.139,0.7,0.0,0.0
Yes Bank,2023,1.0,-0.1248,0.45880000000000004,0.0,0.0,0.045,0.75,4.0,0.0,1.0,0.0,0.005,0.0,-0.3,0.002,0.179,0.308,50.0,0.0,0.022,0.62,0.0,0.0
Yes Bank,2024,1.0,0.1414,0.43979999999999997,0.0,0.0,0.012,0.75,5.0,0.0,1.0,0.0,0.002,0.0,0.74,0.003,0.154,0.309,55.0,0.0,0.017,0.56,0.0,0.0
RBL Bank,2020,1.0,-0.3461,0.6967,0.0,0.0,0.012,0.64,5.0,0.0,1.0,0.0,0.0005,0.0,-0.4,0.006,0.16,0.296,45.0,0.0,0.0362,0.58,0.0,0.0
RBL Bank,2021,1.0,-0.2395,0.5877,0.0,0.0,-0.025,0.7,6.0,0.0,1.0,0.0,0.018,0.0,-0.43,0.0054,0.164,0.318,50.0,0.0,0.0434,0.61,0.0,0.0
RBL Bank,2022,1.0,-0.4223,0.4929,0.0,0.0,-0.084,0.72,7.0,0.0,1.0,0.0,0.02,1.0,-115.0,-0.0007,0.168,0.353,65.0,0.0,0.044,0.65,0.0,0.0
RBL Bank,2023,1.0,0.0136,0.5327000000000001,0.0,0.0,0.051,0.75,1.5,0.0,1.0,0.0,0.001,0.0,9.5,0.0081,0.169,0.374,40.0,0.008,0.0337,0.68,0.0,0.0
RBL Bank,2024,1.0,0.0525,0.3998,0.0,0.0,0.023,0.75,2.5,0.0,1.0,0.0,0.001,0.0,0.45,0.0105,0.161,0.352,42.0,0.006,0.0265,0.71,0.0,0.0
Punjab National Bank,2020,1.0,-0.4002,0.4471,0.8319,0.0,-0.035,0.45,2.0,0.0,0.0,0.0,0.0,0.0,-0.7,0.0004,0.141,0.43,2.0,0.0,0.1421,0.63,0.0,0.0
Punjab National Bank,2021,1.0,-0.2728,0.4576,0.7687,0.0,0.012,0.45,2.5,0.0,0.0,0.0,0.0,0.0,5.0,0.0016,0.143,0.441,2.0,0.0,0.1412,0.63,0.0,0.0
